Timestamp,Queue,Memory,M_Bytes,M_Total,M_Ready,M_Unack,M_Rate,M_Ready Rate,M_UnAck Rate
2024-07-06 18:48:18,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:18,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:18,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:19,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:19,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:19,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:20,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:20,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:20,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:21,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:21,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:21,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:22,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:22,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:22,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:23,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:23,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:23,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:24,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:24,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:24,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:25,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:25,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:25,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:26,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:26,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:26,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:27,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:27,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:27,teste,15792,0,0,0,0,0,0,0
2024-07-06 18:48:28,asdfasdf,15792,0,0,0,0,0,0,0
2024-07-06 18:48:28,asfa,15792,0,0,0,0,0,0,0
2024-07-06 18:48:28,teste,15792,0,0,0,0,0,0,0
